The Architecture of network:  [6, 1]
The cyle of each layer:  3
The total parameters of network: 90
final energy(without noise):  -960.8748486470171
final energy with noise:  -960.3008028490061
final energy with noise:  -960.3047122901985
final energy with noise:  -960.3154797456942
final energy with noise:  -960.3157466601783
final energy with noise:  -960.3203778328103
final energy with noise:  -960.3045482605326
final energy with noise:  -960.3181627273615
final energy with noise:  -960.2967493885133
final energy with noise:  -960.3373536655293
final energy with noise:  -960.3388028202216
final energy with noise:  -960.3169649187477
final energy with noise:  -960.3504435140845
final energy with noise:  -960.3512762955652
final energy with noise:  -960.3542661334261
final energy with noise:  -960.3483261608675
final energy with noise:  -960.3505827485164
final energy with noise:  -960.3424525779885
final energy with noise:  -960.359775373732
final energy with noise:  -960.3876264811066
final energy with noise:  -960.386493600183
final energy with noise:  -960.3785506434858
final energy with noise:  -960.3842257442442
final energy with noise:  -960.3791624365689
final energy with noise:  -960.3991056308046
final energy with noise:  -960.4129956624043
final energy with noise:  -960.417794464431
final energy with noise:  -960.4226054173346
final energy with noise:  -960.4490103335795
final energy with noise:  -960.4432040647732
final energy with noise:  -960.4366038299365
final energy with noise:  -960.4755755487844
final energy with noise:  -960.4679033249196
final energy with noise:  -960.4757788496025
final energy with noise:  -960.4754501109039
final energy with noise:  -960.5252281296459
final energy with noise:  -960.5229194314015
final energy with noise:  -960.5689945678408
final energy with noise:  -960.551154063341
final energy with noise:  -960.5770709095232
final energy with noise:  -960.5804896390335
final energy with noise:  -960.609696149987
final energy with noise:  -960.629565560908
final energy with noise:  -960.6460519199456
final energy with noise:  -960.6586668033224
final energy with noise:  -960.7027230510679
final energy with noise:  -960.729080713938
final energy with noise:  -960.7381996273218
final energy with noise:  -960.764351436241
final energy with noise:  -960.8023920548081
final energy with noise:  -960.8287556208358
