usage: conda [-h] [--no-plugins] [-V] COMMAND ...
conda: error: argument COMMAND: invalid choice: 'activate' (choose from 'clean', 'compare', 'config', 'create', 'info', 'init', 'install', 'list', 'notices', 'package', 'remove', 'uninstall', 'rename', 'run', 'search', 'update', 'upgrade', 'build', 'content-trust', 'convert', 'debug', 'develop', 'doctor', 'index', 'inspect', 'metapackage', 'render', 'skeleton', 'pack', 'verify', 'token', 'repo', 'env', 'server')
/public/home/xzzeng/anaconda3/envs/pennylane/lib/python3.9/site-packages/pyscf/lib/misc.py:46: H5pyDeprecationWarning: Using default_file_mode other than 'r' is deprecated. Pass the mode to h5py.File() instead.
  h5py.get_config().default_file_mode = 'a'
The Architecture of network:  [6, 1]
The cyle of each layer:  3
The total parameters of network: 90
final energy(without noise):  -960.8748486470171
final energy with noise:  -960.3190106221074
final energy with noise(ZNE):  -960.8749403036832
final energy with noise:  -960.3106176786548
final energy with noise(ZNE):  -960.8908517142771
final energy with noise:  -960.305815667382
final energy with noise(ZNE):  -960.8744747112843
final energy with noise:  -960.2879892284383
final energy with noise(ZNE):  -960.8641419404848
final energy with noise:  -960.3216536040106
final energy with noise(ZNE):  -960.8734104514723
final energy with noise:  -960.3008721093531
final energy with noise(ZNE):  -960.8692024929768
final energy with noise:  -960.3303904492836
final energy with noise(ZNE):  -960.8784331911905
final energy with noise:  -960.3354929799395
final energy with noise(ZNE):  -960.8629065615206
final energy with noise:  -960.3238024492953
final energy with noise(ZNE):  -960.8791449719896
final energy with noise:  -960.3211017344554
final energy with noise(ZNE):  -960.872731138005
final energy with noise:  -960.341091822628
final energy with noise(ZNE):  -960.867909470427
final energy with noise:  -960.3375249193496
final energy with noise(ZNE):  -960.8700287798644
final energy with noise:  -960.3368286493843
final energy with noise(ZNE):  -960.8666623411312
final energy with noise:  -960.3401433209165
final energy with noise(ZNE):  -960.8781933737605
final energy with noise:  -960.3346234253901
final energy with noise(ZNE):  -960.8730699090114
final energy with noise:  -960.3517995720122
final energy with noise(ZNE):  -960.8719138763553
final energy with noise:  -960.3649828465833
final energy with noise(ZNE):  -960.8714855112961
final energy with noise:  -960.3735369965976
final energy with noise(ZNE):  -960.8699832289095
final energy with noise:  -960.3687754948544
final energy with noise(ZNE):  -960.8679300888895
final energy with noise:  -960.3851621553456
final energy with noise(ZNE):  -960.8584401240506
final energy with noise:  -960.3725784959676
final energy with noise(ZNE):  -960.8812964066632
final energy with noise:  -960.3827756543059
final energy with noise(ZNE):  -960.8765610771173
final energy with noise:  -960.3659940531868
final energy with noise(ZNE):  -960.8560403824105
final energy with noise:  -960.3934803689142
final energy with noise(ZNE):  -960.8985448852312
final energy with noise:  -960.3964905783997
final energy with noise(ZNE):  -960.8791712926321
final energy with noise:  -960.4191688217953
final energy with noise(ZNE):  -960.8721491972219
final energy with noise:  -960.4316906635032
final energy with noise(ZNE):  -960.8678164898066
final energy with noise:  -960.4061296123404
final energy with noise(ZNE):  -960.8773917424179
final energy with noise:  -960.4514866404475
final energy with noise(ZNE):  -960.8661822952745
final energy with noise:  -960.4710850660141
final energy with noise(ZNE):  -960.8650578209655
final energy with noise:  -960.4585143080722
final energy with noise(ZNE):  -960.874275870948
final energy with noise:  -960.4488923304388
final energy with noise(ZNE):  -960.8731682136134
final energy with noise:  -960.5022295526242
final energy with noise(ZNE):  -960.8730214052106
final energy with noise:  -960.5072904783182
final energy with noise(ZNE):  -960.8687943214687
final energy with noise:  -960.497420343117
final energy with noise(ZNE):  -960.8917989464294
final energy with noise:  -960.522871919614
final energy with noise(ZNE):  -960.8868772888046
final energy with noise:  -960.5303804401258
final energy with noise(ZNE):  -960.8694658592082
final energy with noise:  -960.5632349112012
final energy with noise(ZNE):  -960.8701973870374
final energy with noise:  -960.5852798520433
final energy with noise(ZNE):  -960.8696923337711
final energy with noise:  -960.588419874861
final energy with noise(ZNE):  -960.8730994134754
final energy with noise:  -960.6102254686125
final energy with noise(ZNE):  -960.8720368196465
final energy with noise:  -960.6143892535031
final energy with noise(ZNE):  -960.8746955188848
final energy with noise:  -960.6487174612138
final energy with noise(ZNE):  -960.8793619917574
final energy with noise:  -960.654721129373
final energy with noise(ZNE):  -960.8671764084469
final energy with noise:  -960.6777721465207
final energy with noise(ZNE):  -960.8730581263795
final energy with noise:  -960.7136465638253
final energy with noise(ZNE):  -960.8917361423905
final energy with noise:  -960.7497905877013
final energy with noise(ZNE):  -960.853751891423
final energy with noise:  -960.7838166798196
final energy with noise(ZNE):  -960.8689116084503
final energy with noise:  -960.8033749002882
final energy with noise(ZNE):  -960.8704383874366
final energy with noise:  -960.835782919183
final energy with noise(ZNE):  -960.8845823239377
