The Architecture of network:  [6, 2]
The cyle of each layer:  3
The total parameters of network: 126
final energy(without noise):  -960.8759782650452
final energy with noise:  -960.2681746513989
final energy with noise:  -960.2706611192439
final energy with noise:  -960.2601304936835
final energy with noise:  -960.2960585480823
final energy with noise:  -960.2574372725431
final energy with noise:  -960.2658523069628
final energy with noise:  -960.2742643017311
final energy with noise:  -960.2900924537661
final energy with noise:  -960.2726015235924
final energy with noise:  -960.2572277466313
final energy with noise:  -960.2682141975085
final energy with noise:  -960.277724995405
final energy with noise:  -960.3124068037368
final energy with noise:  -960.2634607007732
final energy with noise:  -960.2854806357168
final energy with noise:  -960.2797480814739
final energy with noise:  -960.3076504594808
final energy with noise:  -960.2959714667561
final energy with noise:  -960.2819098796017
final energy with noise:  -960.2873755312413
final energy with noise:  -960.2997116370179
final energy with noise:  -960.304991117091
final energy with noise:  -960.293042717545
final energy with noise:  -960.3198895922757
final energy with noise:  -960.3090905576339
final energy with noise:  -960.3314595489629
final energy with noise:  -960.3181676582307
final energy with noise:  -960.3104989209054
final energy with noise:  -960.3267065266988
final energy with noise:  -960.3358710042444
final energy with noise:  -960.3470942531817
final energy with noise:  -960.3631304143225
final energy with noise:  -960.3486153242402
final energy with noise:  -960.3322112462099
final energy with noise:  -960.3403934856796
final energy with noise:  -960.3761801194188
final energy with noise:  -960.3855627201535
final energy with noise:  -960.4048903011619
final energy with noise:  -960.4104042091291
final energy with noise:  -960.4378152030837
final energy with noise:  -960.4639128634425
final energy with noise:  -960.481422912283
final energy with noise:  -960.4933249977507
final energy with noise:  -960.5239622734504
final energy with noise:  -960.566881411912
final energy with noise:  -960.6087051531824
final energy with noise:  -960.633976389877
final energy with noise:  -960.6786255887895
final energy with noise:  -960.7314373882567
final energy with noise:  -960.7975598669896
