The Architecture of network:  [6, 0]
The cyle of each layer:  4
The total parameters of network: 78
final energy(without noise):  -960.875254179015
final energy with noise:  -960.3033205404469
final energy with noise:  -960.2837674447524
final energy with noise:  -960.2933381445531
final energy with noise:  -960.2829597235327
final energy with noise:  -960.3017697289179
final energy with noise:  -960.2966703950538
final energy with noise:  -960.2792708025283
final energy with noise:  -960.2974094406352
final energy with noise:  -960.3004528982624
final energy with noise:  -960.3038102391206
final energy with noise:  -960.3303055076166
final energy with noise:  -960.3334250142201
final energy with noise:  -960.3223104316241
final energy with noise:  -960.3116425091762
final energy with noise:  -960.3343088551323
final energy with noise:  -960.3301945726549
final energy with noise:  -960.3140711162927
final energy with noise:  -960.3236598358981
final energy with noise:  -960.3398383091392
final energy with noise:  -960.3516515045278
final energy with noise:  -960.3412406187314
final energy with noise:  -960.3656871927802
final energy with noise:  -960.3588502050916
final energy with noise:  -960.3522651387557
final energy with noise:  -960.3540580697056
final energy with noise:  -960.3830327232172
final energy with noise:  -960.4023217220166
final energy with noise:  -960.3926931553981
final energy with noise:  -960.4027557555995
final energy with noise:  -960.4046348405818
final energy with noise:  -960.4249271576734
final energy with noise:  -960.4379708530406
final energy with noise:  -960.4153445058927
final energy with noise:  -960.4386072575458
final energy with noise:  -960.4499722137059
final energy with noise:  -960.4505734830793
final energy with noise:  -960.4759253527433
final energy with noise:  -960.5029708921292
final energy with noise:  -960.5329556921895
final energy with noise:  -960.5143361047774
final energy with noise:  -960.5709723972457
final energy with noise:  -960.5639840245643
final energy with noise:  -960.5937842196986
final energy with noise:  -960.6169630045639
final energy with noise:  -960.6575791218812
final energy with noise:  -960.6742875013466
final energy with noise:  -960.7062202739395
final energy with noise:  -960.7512649717389
final energy with noise:  -960.7905245063163
final energy with noise:  -960.829408829838
