/public/home/xzzeng/anaconda3/envs/pennylane/lib/python3.9/site-packages/pyscf/lib/misc.py:46: H5pyDeprecationWarning: Using default_file_mode other than 'r' is deprecated. Pass the mode to h5py.File() instead.
  h5py.get_config().default_file_mode = 'a'
The Architecture of network:  [6, 0]
The cyle of each layer:  4
The total parameters of network: 78
final energy(without noise):  -960.1606372964538
final energy with noise:  -960.268143702582
final energy with noise(ZNE):  -960.1202471520031
final energy with noise:  -960.269446129069
final energy with noise(ZNE):  -960.1819498711815
final energy with noise:  -960.27271737549
final energy with noise(ZNE):  -960.1812481407509
final energy with noise:  -960.2469247144172
final energy with noise(ZNE):  -960.1497900299997
final energy with noise:  -960.2565521394845
final energy with noise(ZNE):  -960.1365433387192
final energy with noise:  -960.2407955375088
final energy with noise(ZNE):  -960.1883155207983
final energy with noise:  -960.2394967230267
final energy with noise(ZNE):  -960.1722065653393
final energy with noise:  -960.2524733049823
final energy with noise(ZNE):  -960.1610968841838
final energy with noise:  -960.2600093190248
final energy with noise(ZNE):  -960.1594975000991
final energy with noise:  -960.2571880705693
final energy with noise(ZNE):  -960.1564074179173
final energy with noise:  -960.2483847907978
final energy with noise(ZNE):  -960.1813544586475
final energy with noise:  -960.2558864185786
final energy with noise(ZNE):  -960.1691817563865
final energy with noise:  -960.2606011244922
final energy with noise(ZNE):  -960.1806326815832
final energy with noise:  -960.2416827536049
final energy with noise(ZNE):  -960.1611253566766
final energy with noise:  -960.2440389460319
final energy with noise(ZNE):  -960.1520428183189
final energy with noise:  -960.2497885755462
final energy with noise(ZNE):  -960.1257803617569
final energy with noise:  -960.238335280196
final energy with noise(ZNE):  -960.1687840095659
final energy with noise:  -960.2502116195778
final energy with noise(ZNE):  -960.1654581795309
final energy with noise:  -960.2421558034277
final energy with noise(ZNE):  -960.134518094709
final energy with noise:  -960.257362102492
final energy with noise(ZNE):  -960.1658444813241
final energy with noise:  -960.2419536158344
final energy with noise(ZNE):  -960.1343324109816
final energy with noise:  -960.2172682543857
final energy with noise(ZNE):  -960.1703518923119
final energy with noise:  -960.2186208078667
final energy with noise(ZNE):  -960.1399507532302
final energy with noise:  -960.2493937625953
final energy with noise(ZNE):  -960.1521175819897
final energy with noise:  -960.2534232452107
final energy with noise(ZNE):  -960.1802903498524
final energy with noise:  -960.2476506459742
final energy with noise(ZNE):  -960.1857538423843
final energy with noise:  -960.2502672009485
final energy with noise(ZNE):  -960.1734687092115
final energy with noise:  -960.2504811770665
final energy with noise(ZNE):  -960.180585173684
final energy with noise:  -960.2269897808048
final energy with noise(ZNE):  -960.1623059827915
final energy with noise:  -960.2380400651894
final energy with noise(ZNE):  -960.1797705032951
final energy with noise:  -960.2286135411297
final energy with noise(ZNE):  -960.1267043410213
final energy with noise:  -960.2391461105881
final energy with noise(ZNE):  -960.1655318740536
final energy with noise:  -960.2391824452425
final energy with noise(ZNE):  -960.1801564970723
final energy with noise:  -960.2329033253255
final energy with noise(ZNE):  -960.135075494899
final energy with noise:  -960.220866332931
final energy with noise(ZNE):  -960.1825600761957
final energy with noise:  -960.2255818495452
final energy with noise(ZNE):  -960.1726663559335
final energy with noise:  -960.2238710466654
final energy with noise(ZNE):  -960.1567456829563
final energy with noise:  -960.2107851238351
final energy with noise(ZNE):  -960.1709135591703
final energy with noise:  -960.2231104547973
final energy with noise(ZNE):  -960.1499523759793
final energy with noise:  -960.2192786728124
final energy with noise(ZNE):  -960.1548290778942
final energy with noise:  -960.2171444637313
final energy with noise(ZNE):  -960.1612095189297
final energy with noise:  -960.2269989202326
final energy with noise(ZNE):  -960.1410642741844
final energy with noise:  -960.2061135223537
final energy with noise(ZNE):  -960.1996420061947
final energy with noise:  -960.1943795889375
final energy with noise(ZNE):  -960.1735446729698
final energy with noise:  -960.1792889129948
final energy with noise(ZNE):  -960.1687305283657
final energy with noise:  -960.2016807555486
final energy with noise(ZNE):  -960.1695337971832
final energy with noise:  -960.1906997600237
final energy with noise(ZNE):  -960.1608053497125
final energy with noise:  -960.16675993079
final energy with noise(ZNE):  -960.1420436584862
final energy with noise:  -960.1839210771702
final energy with noise(ZNE):  -960.1512282344053
final energy with noise:  -960.1865769085562
final energy with noise(ZNE):  -960.1322197666169
