The Architecture of network:  [6, 0]
The cyle of each layer:  4
The total parameters of network: 90
final energy(without noise):  -960.8752499226746
final energy with noise:  -960.285823618985
final energy with noise:  -960.2730735691956
final energy with noise:  -960.2781442667139
final energy with noise:  -960.261055207856
final energy with noise:  -960.2916883605626
final energy with noise:  -960.2663582213767
final energy with noise:  -960.2702841313638
final energy with noise:  -960.2830354271231
final energy with noise:  -960.2620882826255
final energy with noise:  -960.2744341740594
final energy with noise:  -960.2669918300508
final energy with noise:  -960.27461345449
final energy with noise:  -960.2725807464213
final energy with noise:  -960.2746287781171
final energy with noise:  -960.2698635472566
final energy with noise:  -960.2662541535567
final energy with noise:  -960.2825340149361
final energy with noise:  -960.2816586420536
final energy with noise:  -960.2920793849554
final energy with noise:  -960.2946350139886
final energy with noise:  -960.2901425241594
final energy with noise:  -960.2949225108922
final energy with noise:  -960.2913653215012
final energy with noise:  -960.2876385099966
final energy with noise:  -960.2719084852065
final energy with noise:  -960.3116014960958
final energy with noise:  -960.305251729476
final energy with noise:  -960.3347653313963
final energy with noise:  -960.3319345397523
final energy with noise:  -960.3209561586036
final energy with noise:  -960.3387890702747
final energy with noise:  -960.3593622545183
final energy with noise:  -960.3646929603092
final energy with noise:  -960.3699660164742
final energy with noise:  -960.3949110336808
final energy with noise:  -960.396927503278
final energy with noise:  -960.4100586938537
final energy with noise:  -960.4195629477404
final energy with noise:  -960.4376649828621
final energy with noise:  -960.4327086580344
final energy with noise:  -960.4748531992095
final energy with noise:  -960.5094210194794
final energy with noise:  -960.5278525396088
final energy with noise:  -960.5744637625867
final energy with noise:  -960.5794945942162
final energy with noise:  -960.6290542529183
final energy with noise:  -960.6727572202481
final energy with noise:  -960.7086485571369
final energy with noise:  -960.750010022423
final energy with noise:  -960.8072490831012
