/public/home/xzzeng/anaconda3/envs/pennylane/lib/python3.9/site-packages/pyscf/lib/misc.py:46: H5pyDeprecationWarning: Using default_file_mode other than 'r' is deprecated. Pass the mode to h5py.File() instead.
  h5py.get_config().default_file_mode = 'a'
The Architecture of network:  [6, 0]
The cyle of each layer:  4
The total parameters of network: 90
final energy(without noise):  -960.8752987302364
final energy with noise:  -960.2763831130333
final energy with noise(ZNE):  -960.8743621371705
final energy with noise:  -960.2452721471141
final energy with noise(ZNE):  -960.8706149009072
final energy with noise:  -960.2555976379172
final energy with noise(ZNE):  -960.8715726885243
final energy with noise:  -960.271242510609
final energy with noise(ZNE):  -960.8812487588884
final energy with noise:  -960.2771900306466
final energy with noise(ZNE):  -960.8460025269411
final energy with noise:  -960.2752609086346
final energy with noise(ZNE):  -960.8670646322863
final energy with noise:  -960.2702243041293
final energy with noise(ZNE):  -960.8723505349126
final energy with noise:  -960.266738262682
final energy with noise(ZNE):  -960.8707649739482
final energy with noise:  -960.2708802320973
final energy with noise(ZNE):  -960.8623337988242
final energy with noise:  -960.2848001309326
final energy with noise(ZNE):  -960.880535930477
final energy with noise:  -960.2755485113984
final energy with noise(ZNE):  -960.848968227463
final energy with noise:  -960.2626206986888
final energy with noise(ZNE):  -960.8671074598496
final energy with noise:  -960.283174438491
final energy with noise(ZNE):  -960.8615493479797
final energy with noise:  -960.2960503718175
final energy with noise(ZNE):  -960.8842188953284
final energy with noise:  -960.298636057249
final energy with noise(ZNE):  -960.8642624314621
final energy with noise:  -960.2810127170299
final energy with noise(ZNE):  -960.8719931395511
final energy with noise:  -960.2914024072843
final energy with noise(ZNE):  -960.8663334694978
final energy with noise:  -960.2789023181142
final energy with noise(ZNE):  -960.8664153516983
final energy with noise:  -960.2594757205695
final energy with noise(ZNE):  -960.889236727909
final energy with noise:  -960.2798671768546
final energy with noise(ZNE):  -960.8673686729638
final energy with noise:  -960.2990409051612
final energy with noise(ZNE):  -960.8664472298968
final energy with noise:  -960.2677770056648
final energy with noise(ZNE):  -960.8688539187646
final energy with noise:  -960.2941813993891
final energy with noise(ZNE):  -960.8751237994062
final energy with noise:  -960.2984185467704
final energy with noise(ZNE):  -960.8600511131116
final energy with noise:  -960.2908789033692
final energy with noise(ZNE):  -960.8745224991618
final energy with noise:  -960.2884781644595
final energy with noise(ZNE):  -960.8695393369103
final energy with noise:  -960.3261867222662
final energy with noise(ZNE):  -960.8612631516053
final energy with noise:  -960.3292213835945
final energy with noise(ZNE):  -960.8717876831471
final energy with noise:  -960.316303893106
final energy with noise(ZNE):  -960.8699151140787
final energy with noise:  -960.3291522352084
final energy with noise(ZNE):  -960.8797630390637
final energy with noise:  -960.3452622568808
final energy with noise(ZNE):  -960.8693564957447
final energy with noise:  -960.3577782922466
final energy with noise(ZNE):  -960.8635623875351
final energy with noise:  -960.3568675969883
final energy with noise(ZNE):  -960.8667592942303
final energy with noise:  -960.3516757583113
final energy with noise(ZNE):  -960.8793553252164
final energy with noise:  -960.3767259901545
final energy with noise(ZNE):  -960.8703037893879
final energy with noise:  -960.3723181208727
final energy with noise(ZNE):  -960.8724987119693
final energy with noise:  -960.399190079136
final energy with noise(ZNE):  -960.8714822427678
final energy with noise:  -960.4427793993258
final energy with noise(ZNE):  -960.8616806750607
final energy with noise:  -960.4260520939386
final energy with noise(ZNE):  -960.8871862120917
final energy with noise:  -960.465901391904
final energy with noise(ZNE):  -960.8722280921623
final energy with noise:  -960.4790702748614
final energy with noise(ZNE):  -960.8689217597838
final energy with noise:  -960.5113548097582
final energy with noise(ZNE):  -960.8631515969665
final energy with noise:  -960.5125947894406
final energy with noise(ZNE):  -960.8658329562222
final energy with noise:  -960.559639708791
final energy with noise(ZNE):  -960.8746074064079
final energy with noise:  -960.5793471745507
final energy with noise(ZNE):  -960.8703271085406
final energy with noise:  -960.6185989410047
final energy with noise(ZNE):  -960.8591465336867
final energy with noise:  -960.6590880231909
final energy with noise(ZNE):  -960.8709079494655
final energy with noise:  -960.7140649698714
final energy with noise(ZNE):  -960.8676060393815
final energy with noise:  -960.7566728671491
final energy with noise(ZNE):  -960.8769744116343
final energy with noise:  -960.823108540034
final energy with noise(ZNE):  -960.8821769819014
