The Architecture of network:  [6, 1]
The cyle of each layer:  3
The total parameters of network: 72
final energy(without noise):  -960.8201944531158
final energy with noise:  -960.2358043650804
final energy with noise:  -960.2230125482529
final energy with noise:  -960.2044543668339
final energy with noise:  -960.2388838239458
final energy with noise:  -960.237039013629
final energy with noise:  -960.2333641723314
final energy with noise:  -960.2553431222325
final energy with noise:  -960.25787200839
final energy with noise:  -960.2635293582563
final energy with noise:  -960.214422168887
final energy with noise:  -960.2429992598086
final energy with noise:  -960.253180338921
final energy with noise:  -960.2628689872282
final energy with noise:  -960.2483989243628
final energy with noise:  -960.2457242734469
final energy with noise:  -960.2633937584716
final energy with noise:  -960.2840973692843
final energy with noise:  -960.2734343844037
final energy with noise:  -960.2797795553106
final energy with noise:  -960.294529914305
final energy with noise:  -960.2902818347974
final energy with noise:  -960.3153518562775
final energy with noise:  -960.3145932466824
final energy with noise:  -960.3179495549504
final energy with noise:  -960.3414557682459
final energy with noise:  -960.3232498131487
final energy with noise:  -960.3367998618488
final energy with noise:  -960.3352722440512
final energy with noise:  -960.3564874307303
final energy with noise:  -960.3680131999606
final energy with noise:  -960.3668179219497
final energy with noise:  -960.3997276860889
final energy with noise:  -960.3992461639501
final energy with noise:  -960.411033769263
final energy with noise:  -960.4038216150334
final energy with noise:  -960.4120611052733
final energy with noise:  -960.4486443786003
final energy with noise:  -960.468899960187
final energy with noise:  -960.4833378059263
final energy with noise:  -960.4880801148364
final energy with noise:  -960.5152643416232
final energy with noise:  -960.5303234325518
final energy with noise:  -960.5556939890829
final energy with noise:  -960.5826609054332
final energy with noise:  -960.6028803116383
final energy with noise:  -960.6299023352279
final energy with noise:  -960.6572924752727
final energy with noise:  -960.701713674048
final energy with noise:  -960.7449666006543
final energy with noise:  -960.785430224781
