The Architecture of network:  [8, 2]
The cyle of each layer:  3
The total parameters of network: 168
final energy(without noise):  -960.8105713710514
final energy with noise:  -959.9873461781899
final energy with noise:  -959.9894025337314
final energy with noise:  -960.0153181328183
final energy with noise:  -959.9938620724732
final energy with noise:  -960.0118028916401
final energy with noise:  -960.0065343367273
final energy with noise:  -959.9980891177328
final energy with noise:  -959.9985246788565
final energy with noise:  -960.0049426010736
final energy with noise:  -959.9950849251549
final energy with noise:  -960.0210650640146
final energy with noise:  -960.018080408423
final energy with noise:  -960.0011368528902
final energy with noise:  -960.013161962894
final energy with noise:  -960.0313594098244
final energy with noise:  -960.0149529130296
final energy with noise:  -960.0327805186856
final energy with noise:  -960.0072607179306
final energy with noise:  -960.0155466558466
final energy with noise:  -960.0346010367867
final energy with noise:  -960.0376432496948
final energy with noise:  -960.0226055519537
final energy with noise:  -960.0436579816484
final energy with noise:  -960.0227038749102
final energy with noise:  -960.0276211000006
final energy with noise:  -960.0450852357535
final energy with noise:  -960.047740592523
final energy with noise:  -960.028374228966
final energy with noise:  -960.0552760921867
final energy with noise:  -960.0808852558464
final energy with noise:  -960.0511725633124
final energy with noise:  -960.0707989964654
final energy with noise:  -960.0774588758273
final energy with noise:  -960.078539070249
final energy with noise:  -960.1034802660295
final energy with noise:  -960.1123051508931
final energy with noise:  -960.1533756455433
final energy with noise:  -960.1663638252401
final energy with noise:  -960.1628122080057
final energy with noise:  -960.193066931203
final energy with noise:  -960.2096983809691
final energy with noise:  -960.2435519951384
final energy with noise:  -960.2786562737181
final energy with noise:  -960.3189350628029
final energy with noise:  -960.3521001366718
final energy with noise:  -960.4291191497526
final energy with noise:  -960.4573741339774
final energy with noise:  -960.5014874819183
final energy with noise:  -960.6112367600107
final energy with noise:  -960.6945913798969
