The Architecture of network:  [6, 0]
The cyle of each layer:  4
The total parameters of network: 78
final energy(without noise):  -960.8113823650953
final energy with noise:  -960.1781715679164
final energy with noise:  -960.2079614779458
final energy with noise:  -960.2069820777933
final energy with noise:  -960.1873727680713
final energy with noise:  -960.1925127578221
final energy with noise:  -960.1738525817382
final energy with noise:  -960.2066961208617
final energy with noise:  -960.1925956480361
final energy with noise:  -960.2333885707861
final energy with noise:  -960.2054193461158
final energy with noise:  -960.2046707082119
final energy with noise:  -960.1865039090369
final energy with noise:  -960.2138124308292
final energy with noise:  -960.2196578346005
final energy with noise:  -960.2306638029933
final energy with noise:  -960.2102076539352
final energy with noise:  -960.1990772198676
final energy with noise:  -960.2417057811616
final energy with noise:  -960.2379121341758
final energy with noise:  -960.2604890147461
final energy with noise:  -960.2497370627405
final energy with noise:  -960.2423644502695
final energy with noise:  -960.2476816504446
final energy with noise:  -960.2681563398488
final energy with noise:  -960.267412258103
final energy with noise:  -960.267640565683
final energy with noise:  -960.2574924463827
final energy with noise:  -960.2836493439123
final energy with noise:  -960.2774029985109
final energy with noise:  -960.3150734232123
final energy with noise:  -960.2970641994464
final energy with noise:  -960.3074687804045
final energy with noise:  -960.3215602131555
final energy with noise:  -960.3336734373742
final energy with noise:  -960.3675716218385
final energy with noise:  -960.3669579105341
final energy with noise:  -960.407635700813
final energy with noise:  -960.4224034388373
final energy with noise:  -960.4042540640552
final energy with noise:  -960.4380876639289
final energy with noise:  -960.4586138799169
final energy with noise:  -960.4910538413496
final energy with noise:  -960.5211872668374
final energy with noise:  -960.511157680055
final energy with noise:  -960.5713871490642
final energy with noise:  -960.6065671492784
final energy with noise:  -960.6402648250545
final energy with noise:  -960.6764830593345
final energy with noise:  -960.711711366697
final energy with noise:  -960.7577648845663
