The Architecture of network:  [6, 0]
The cyle of each layer:  4
The total parameters of network: 90
final energy(without noise):  -960.8199439084184
final energy with noise:  -960.165219367317
final energy with noise:  -960.1670241626921
final energy with noise:  -960.1691429408662
final energy with noise:  -960.1794116696711
final energy with noise:  -960.1653415340429
final energy with noise:  -960.184408853908
final energy with noise:  -960.1586351721362
final energy with noise:  -960.1706757682226
final energy with noise:  -960.1844988625869
final energy with noise:  -960.1628028109081
final energy with noise:  -960.1418736068986
final energy with noise:  -960.1636080566651
final energy with noise:  -960.144665688237
final energy with noise:  -960.163897659288
final energy with noise:  -960.1680421790769
final energy with noise:  -960.1900132153096
final energy with noise:  -960.1683376433323
final energy with noise:  -960.1669204355262
final energy with noise:  -960.1711218196568
final energy with noise:  -960.1704294430884
final energy with noise:  -960.1595919428729
final energy with noise:  -960.1797019727626
final energy with noise:  -960.1810967170171
final energy with noise:  -960.183807356977
final energy with noise:  -960.1785250936449
final energy with noise:  -960.19330294252
final energy with noise:  -960.2240231195484
final energy with noise:  -960.2110745871271
final energy with noise:  -960.2121952414274
final energy with noise:  -960.2284743423929
final energy with noise:  -960.2358651107094
final energy with noise:  -960.2438556668704
final energy with noise:  -960.2461552075771
final energy with noise:  -960.2532707104356
final energy with noise:  -960.262577541083
final energy with noise:  -960.2681529679361
final energy with noise:  -960.2632860243492
final energy with noise:  -960.288229369287
final energy with noise:  -960.3332990583793
final energy with noise:  -960.3489809397526
final energy with noise:  -960.380109895213
final energy with noise:  -960.4059943541471
final energy with noise:  -960.4318267158907
final energy with noise:  -960.4535769197736
final energy with noise:  -960.504280148497
final energy with noise:  -960.5251384462405
final energy with noise:  -960.5692161255498
final energy with noise:  -960.6262200198411
final energy with noise:  -960.6721463987697
final energy with noise:  -960.7396676211215
