# index    orig_data      orig+rem     orig+rem+cf
1      -1451.23818475      -1451.21621651      -1451.20793354
2      -1451.26732935      -1451.24831639      -1451.23303462
3      -1451.50600325      -1451.51040618      -1451.50285385
4      -1451.61768376      -1451.63297911      -1451.61815034
5      -1451.64045512      -1451.65802838      -1451.64315864
6      -1451.62418096      -1451.64028441      -1451.62515106
7      -1451.84188960      -1451.87797837      -1451.87331608
8      -1451.84561713      -1451.88218545      -1451.87790607
9      -1451.84309238      -1451.87950734      -1451.87463321
10      -1451.80393974      -1451.83653548      -1451.82950043
11      -1451.85334168      -1451.89060480      -1451.88303779
12      -1451.85262463      -1451.88978688      -1451.88561305
13      -1451.85208152      -1451.88920857      -1451.88299930
14      -1451.85195595      -1451.88919250      -1451.88405974
15      -1451.85455157      -1451.89203910      -1451.88627142
16      -1451.85432830      -1451.89175858      -1451.88568102
1      -1451.85362982      -1451.89097310      -1451.88605523
1      -1451.85520951      -1451.89271700      -1451.88664452
1      -1451.85467980      -1451.89212978      -1451.88646039
1      -1451.85366251      -1451.89100865      -1451.88737056
