
Host: ubuntu

Timers On : Wed Nov  9 14:59:07 2022
Timers Off: Wed Nov  9 15:06:56 2022

Wall Time:      468.46 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      3.300u      0.017s      2.010w      5 calls
Libint2ERI::Libint2ERI              :      6.100u      0.033s      3.659w     19 calls
DFH: initialize()                   :     25.950u      0.600s     15.941w      5 calls
DFH: AO Construction                :      8.917u      0.117s      5.408w      9 calls
DFH: AO-Met. Contraction            :      8.467u      0.350s      5.286w      9 calls
HF: Form core H                     :      0.167u      0.000s      0.104w      1 calls
HF: Form S/X                        :      0.033u      0.000s      0.015w      1 calls
HF: Guess                           :      0.133u      0.017s      0.093w      1 calls
SAD Guess                           :      0.133u      0.017s      0.092w      1 calls
HF: Form G                          :      7.883u      0.733s      5.196w     14 calls
JK: D                               :      0.000u      0.000s      0.008w     49 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     49 calls
JK: JK                              :     21.067u      1.350s     13.485w     49 calls
DFH: compute_JK()                   :     21.067u      1.333s     13.483w     49 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     49 calls
DFH: compute_J                      :      2.133u      0.033s      1.338w     49 calls
DFH: compute_K                      :     18.767u      0.017s     11.258w     49 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     49 calls
HF: Form F                          :      0.000u      0.000s      0.001w     14 calls
HF: Form D                          :      0.000u      0.000s      0.002w     14 calls
HF: DIIS                            :      0.200u      0.067s      0.142w     13 calls
HF: Form C                          :      0.217u      0.000s      0.145w     13 calls
CIWave: MCSCF integral transform    :    145.950u     23.217s    102.040w     14 calls
CIWave: CIvect write                :      0.000u      0.000s      0.001w    292 calls
CIWave: CIvect read                 :      0.017u      0.000s      0.001w    985 calls
CIWave: s2                          :      0.000u      0.000s      0.000w     40 calls
CIWave: s3                          :      0.000u      0.000s      0.000w     40 calls
CIWave: opdm                        :      0.000u      0.000s      0.000w     14 calls
CIWave: TPDM                        :      0.000u      0.000s      0.000w     14 calls
CIWave: TPDM Block                  :      0.000u      0.000s      0.000w     14 calls
CIWave: TPDM Reorder                :      0.000u      0.000s      0.000w     14 calls
SOMCSCF: Compute Gradient           :      3.983u      0.000s      2.685w     13 calls
SOMCSCF: Q matrix                   :      0.033u      0.000s      0.277w     13 calls
SOMCSCF: Approximate hessian        :      0.000u      0.000s      0.000w     13 calls
Integrals                           :     12.217u      1.200s      8.074w      1 calls
DFH: transform()                    :      3.400u      0.600s      2.405w      2 calls
DFH: Total Workflow                 :      2.350u      0.033s      1.429w     32 calls
DFH: Total Transform                :      2.350u      0.033s      1.429w     32 calls
DFH: 1st Contraction                :      0.967u      0.000s      0.585w     16 calls
DFH: 2nd Contraction                :      1.383u      0.033s      0.844w     16 calls
DFH: MO to disk                     :      0.183u      0.550s      0.448w     16 calls
DFH: Direct Contractions            :      0.000u      0.000s      0.000w      2 calls
