# index    orig_data      orig+rem     orig+rem+cf     VQE_no_noise
1      -1451.81706951      -1451.83693898      -1451.84549234     -1451.85037408
1      -1451.81779380      -1451.83706029      -1451.83562442     -1451.65146909
1      -1451.62210688      -1451.63102558      -1451.63095207     -1451.69178721
1      -1451.62195477      -1451.63087703      -1451.63075985     -1451.69178721
1      -1451.82250122      -1451.84593829      -1451.84319840     -1451.85247847
1      -1451.82233701      -1451.84577641      -1451.84369040     -1451.85247847
1      -1451.32626264      -1451.30908806      -1451.30145824     -1451.30222300
2      -1451.33181432      -1451.31519818      -1451.30362997     -1451.30423003
3      -1451.35264981      -1451.33794798      -1451.32575863     -1451.32008987
4      -1451.44060002      -1451.43366963      -1451.42558018     -1451.38690894
5      -1451.60902518      -1451.61656120      -1451.61673708     -1451.53921244
6      -1451.72154835      -1451.73809955      -1451.74190510     -1451.70883368
7      -1451.77489672      -1451.79547840      -1451.79968932     -1451.80953249
8      -1451.79931789      -1451.82182439      -1451.82595485     -1451.82484141
9      -1451.81998252      -1451.84403678      -1451.84159925     -1451.85292291
10      -1451.82119586      -1451.84533326      -1451.84239226     -1451.85281963
11      -1451.81554035      -1451.83926696      -1451.83629673     -1451.85271172
12      -1451.81751498      -1451.84138560      -1451.84026019     -1451.85315460
13      -1451.81925279      -1451.84323809      -1451.84184889     -1451.85327202
14      -1451.82144804      -1451.84563029      -1451.84352254     -1451.85169308
15      -1451.81739736      -1451.84129086      -1451.84096990     -1451.85259225
16      -1451.81886360      -1451.84281711      -1451.84078216     -1451.85278619
17      -1451.81580140      -1451.83952376      -1451.83857189     -1451.85273982
18      -1451.82063382      -1451.84472155      -1451.84263183     -1451.85312529
19      -1451.81730334      -1451.84112201      -1451.83963362     -1451.85317496
20      -1451.81776503      -1451.84161254      -1451.84037035     -1451.85278589
21      -1451.81842883      -1451.84237402      -1451.84165270     -1451.85271374
1      -1451.81170860      -1451.83539503      -1451.84747499     -1451.81127746
1      -1451.81074443      -1451.83437453      -1451.84672181     -1451.81127746
