# index    orig_data      orig+rem     orig+rem+cf
1      -1451.32664725      -1451.31021949      -1451.30149051
2      -1451.36188000      -1451.34876935      -1451.33469633
3      -1451.69650100      -1451.71460339      -1451.70988420
4      -1451.80211593      -1451.82993900      -1451.82845689
5      -1451.80076015      -1451.82836189      -1451.82703915
6      -1451.80857133      -1451.83698743      -1451.83502883
7      -1451.81463224      -1451.84353729      -1451.84161429
8      -1451.82240004      -1451.85188891      -1451.84377691
9      -1451.82416015      -1451.85379392      -1451.84597334
10      -1451.82009608      -1451.84939280      -1451.84090810
11      -1451.81971438      -1451.84892486      -1451.84001671
12      -1451.82042929      -1451.84975499      -1451.84099533
13      -1451.82256162      -1451.85213313      -1451.84368613
14      -1451.82349956      -1451.85307794      -1451.84272249
15      -1451.82425327      -1451.85395634      -1451.84311908
16      -1451.82287525      -1451.85244774      -1451.84278015
17      -1451.82144565      -1451.85084735      -1451.84050591
18      -1451.82169353      -1451.85121060      -1451.83937203
19      -1451.82123082      -1451.85058230      -1451.84009965
20      -1451.82331942      -1451.85276132      -1451.84114513
21      -1451.82117236      -1451.85043965      -1451.83928137
1      -1451.81903941      -1451.84819345      -1451.84146907
1      -1451.82005056      -1451.84927920      -1451.84171553
1      -1451.82047499      -1451.84973907      -1451.84263762
1      -1451.82313755      -1451.85264893      -1451.84474433
