# bond-length  CASCI  CASSCF  CASSCF+NEVPT2
5.999999999999999778e-01 -1.062893155227572208e+02 -1.063277291319224673e+02 -1.066007051219088453e+02
8.000000000000000444e-01 -1.085157496070375061e+02 -1.085601913265308553e+02 -1.088322106608503361e+02
1.000000000000000000e+00 -1.090137316351178072e+02 -1.090547159355558762e+02 -1.093302161801892538e+02
1.090000000000000080e+00 -1.090472993959429715e+02 -1.091258363919407230e+02 -1.093614124687166935e+02
1.199999999999999956e+00 -1.090239545328029607e+02 -1.091074589534861587e+02 -1.093425218112989796e+02
1.399999999999999911e+00 -1.089270852531663678e+02 -1.090105314193331054e+02 -1.092465938975823434e+02
1.600000000000000089e+00 -1.088433679834173233e+02 -1.089120813707937856e+02 -1.091491332613473588e+02
1.800000000000000044e+00 -1.087756411125635339e+02 -1.088396569544408692e+02 -1.090799977541963841e+02
2.000000000000000000e+00 -1.087467864024545605e+02 -1.088084044610292551e+02 -1.090418167101847047e+02
2.399999999999999911e+00 -1.087388290298305122e+02 -1.087952920725647914e+02 -1.090192952571598681e+02
2.799999999999999822e+00 -1.087410273627995565e+02 -1.087947643080094764e+02 -1.090158901991369049e+02
3.200000000000000178e+00 -1.087431069473713734e+02 -1.087938358901587890e+02 -1.090139868585724372e+02
3.600000000000000089e+00 -1.087429946683724324e+02 -1.087945520108452513e+02 -1.090144639133713440e+02
4.000000000000000000e+00 -1.087424765670063636e+02 -1.087947093019031968e+02 -1.090145113104167791e+02
5.000000000000000000e+00 -1.087414922442388985e+02 -1.087947188154281264e+02 -1.090144455964227035e+02
6.000000000000000000e+00 -1.087413085884679163e+02 -1.087947157253737203e+02 -1.090144296419632468e+02
