# bond-length  CASCI  CASSCF  CASSCF+NEVPT2
5.999999999999999778e-01 -1.062907105094224818e+02 -1.063484159484636393e+02 -1.065873945288268487e+02
8.000000000000000444e-01 -1.085169654646850574e+02 -1.085842575265970567e+02 -1.088247568164347001e+02
1.000000000000000000e+00 -1.090123332333069186e+02 -1.090520989111424797e+02 -1.093379731063101445e+02
1.090000000000000080e+00 -1.090389029562046375e+02 -1.090752490934384440e+02 -1.093691124523833054e+02
1.199999999999999956e+00 -1.090148394359412976e+02 -1.090486468299107656e+02 -1.093481638048609881e+02
1.399999999999999911e+00 -1.089382361223706255e+02 -1.090170795260917629e+02 -1.092445337513695165e+02
1.600000000000000089e+00 -1.088352912012091736e+02 -1.089054056790747467e+02 -1.091490641510488615e+02
1.800000000000000044e+00 -1.087756411125635339e+02 -1.088396569544408692e+02 -1.090799977541963841e+02
2.000000000000000000e+00 -1.087467864024545605e+02 -1.088084044610292551e+02 -1.090418167101847047e+02
2.399999999999999911e+00 -1.087388290298305122e+02 -1.087952920725647914e+02 -1.090192952571598681e+02
2.799999999999999822e+00 -1.087410273627995565e+02 -1.087947643080094764e+02 -1.090158901991369049e+02
3.200000000000000178e+00 -1.087431069473713734e+02 -1.087938358901587890e+02 -1.090139868585724372e+02
3.600000000000000089e+00 -1.087429946683724324e+02 -1.087945520108452513e+02 -1.090144639133713440e+02
4.000000000000000000e+00 -1.087424765670063636e+02 -1.087947093019031968e+02 -1.090145113104167791e+02
5.000000000000000000e+00 -1.087414922442388985e+02 -1.087947188154281264e+02 -1.090144455964227035e+02
6.000000000000000000e+00 -1.087413085884679163e+02 -1.087947157253737203e+02 -1.090144296419632468e+02
