# bond-length   RHF   MP2   CCSD   CISD
5.999999999999999778e-01 -1.062855413889639635e+02 -1.066152344157619467e+02 -1.066278359453737892e+02 -1.066136478175944546e+02
8.000000000000000444e-01 -1.084988494426746257e+02 -1.088442637494036092e+02 -1.088556028701411122e+02 -1.088377314758801049e+02
1.000000000000000000e+00 -1.089680150119195616e+02 -1.093451100408910150e+02 -1.093498828374245022e+02 -1.093258547661400257e+02
1.199999999999999956e+00 -1.089396427328275223e+02 -1.093685220233049620e+02 -1.093560845822678687e+02 -1.093228505407478224e+02
1.399999999999999911e+00 -1.087864138643058851e+02 -1.092934422460556618e+02 -1.092460800948833111e+02 -1.091999395414177201e+02
1.600000000000000089e+00 -1.086221416840222105e+02 -1.092363195220061414e+02 -1.091305363348547246e+02 -1.090673765720310939e+02
1.800000000000000044e+00 -1.084775014726356090e+02 -1.092265947903556480e+02 -1.090390016455016280e+02 -1.089529584836238314e+02
2.000000000000000000e+00 -1.083575187414136707e+02 -1.092656658532842755e+02 -1.089813542026440132e+02 -1.088603682767345902e+02
2.399999999999999911e+00 -1.081817560440502177e+02 -1.094640342715781429e+02 -1.089926548826865371e+02 -1.087300489599080180e+02
2.799999999999999822e+00 -1.080674743198560463e+02 -1.097770331751865456e+02 -1.086568384167396317e+02 -1.086502853896133161e+02
3.200000000000000178e+00 -1.079917258259090289e+02 -1.101643386892610152e+02 -1.086106404310436062e+02 -1.086007194773212916e+02
3.600000000000000089e+00 -1.079398331197271546e+02 -1.106002041049302278e+02 -1.085911974249353591e+02 -1.077905835840639384e+02
4.000000000000000000e+00 -1.079031733477911956e+02 -1.110641910638902630e+02 -1.086051748099353773e+02 -1.085481079870411492e+02
5.000000000000000000e+00 -1.078492054397803344e+02 -1.122450826229765823e+02 -1.085787973106438074e+02 -1.085199790072784793e+02
