#Folder	HF Energy	CCSD(T) Energy
0	-195.109212290028	-195.92059878266332
1	-195.13672897601	-195.94846198735553
2	-195.149846380209	-195.96218961660722
3	-195.152838078481	-195.96602956949087
4	-195.14886855645	-195.96313684196642
5	-195.140271378994	-195.955847330589
6	-195.128751796931	-195.9458769161523
7	-195.115534603115	-195.93446558881777
8	-195.087174613833	-195.91055050127812
9	-195.046094869628	-195.87841801767203
10	-195.01082215327	-195.8550692456687
11	-194.98212792546	-195.8412634041477
12	-194.966292428647	-195.83671350093772
13	-194.952697353825	-195.83511742546133
14	-194.940989366589	-195.83572791955766
15	-194.930847130809	-195.83782412654983
16	-194.92201280626	-195.84078307488124
17	-194.918027054196	-195.8424289772314
18	-194.910840621568	-195.84581924994072
19	-194.901883853298	-195.8507061690575
20	-194.894916103982	-195.8549776309404
21	-194.88820559255	-195.85951868899062
22	-194.876134777323	-195.8694723306356
